23027,Award,"£98,272.00",Improving Front Line Collaborative Responses to Multiple Exclusion Homelessness: Community of Practice Development Programme,Research Grant,05-Jan-12,2012,"PI: Professor Gillian Manthorpe
CoInv: Dr Michelle Cornes",Social Science & Public Policy,4459,Not Lead,Revolving Doors Agency,London,Non Commercial Organisation,,
23738,Renewal,"£79,962.70",Block Caving - Fragmentation component,Contract,05-Jan-12,2012,PI: Professor Alessandro De Vita,Natural & Mathematical Sciences,4834,Lead,"Imperial College of Science, Technology & Medicine",London,Non Commercial Organisation,Higher Education,No
25446,Renewal,"£5,860.00",Testing of antibody drug conjugates of MUC-1 antibodies 5E5 and HMFG2,Contract,11-Jan-12,2012,PI: Dr Joy Burchell,Medicine,5785,Not Lead,Cancer Research Technology Ltd,London,Non Commercial Organisation,,
23293,Award,"£104,811.00",Optimising cardiac resynchronisation therapy lead placement for long term outcomes,Research Grant,13-Jan-12,2012,"PI: Dr Steven Niederer
CoInv: Professor Reza Razavi, Professor Nic Smith
ExtCoApp: Dr Gernot Plank, Dr Aldo Rinaldi",Medicine,4674,Not Lead,Guy's & St Thomas' NHS Foundation Trust,London,Non Commercial Organisation,,No
23203,Transfer,"£218,229.56",Human biomonitoring and carcinogen activation,Research Grant,25-Jan-12,2012,PI: Professor David Phillips,Biomedical Sciences,4635,Not Lead,Institute of Cancer Research,London,,,
23372,Award,"£23,975.00",Transplant ureteric stent removal: Early versus standard removal. A randomised controlled trial (PB-PG-0909-20047),Contract,02-Feb-12,2012,"PI: Professor Janet Peacock
CoInv: Professor David Beighton","Dental Institute, Medicine",4706,Lead,London School of Economics & Political  Science,London,Non Commercial Organisation,Higher Education,No
25103,Award,"£15,600.00",Integrating c-Met Molecular imaging into the optimization of cancer therapy,Contract,03-Feb-12,2012,PI: Professor Tony Ng,Medicine,5524,Not Lead,MRC,London,Non Commercial Organisation,,No
23499,Award,"£129,734.32",UK Research Information Shared Service UKRISS,Contract,07-Feb-12,2012,PI: Dr Simon Waddington,Arts & Humanities,4745,Not Lead,British Library,London,,,No
22673,Award,"£40,861.00",An investigation of the patient experience of MRSA screening,Contract,09-Feb-12,2012,PI: Dr Carol Pellowe,Florence Nightingale School of Nursing & Midwifery,4287,Not Lead,Guy's & St Thomas' NHS Foundation Trust,London,Non Commercial Organisation,,No
25177,Award,"£15,600.00",Functional Phenotyping of Stem Cell Models of Huntington's Disease,Contract,14-Feb-12,2012,PI: Professor Gillian Bates,Medicine,5593,Not Lead,MRC,London,Non Commercial Organisation,,No
